,spot_price_eur_mwh,gas_price_eur_mwh,co2_price_eur_t,fcr_capacity_price_eur_mw_h,afrr_up_capacity_price_eur_mw_h,afrr_down_capacity_price_eur_mw_h,afrr_up_activation_price_eur_mwh,afrr_down_activation_price_eur_mwh
2026-01-11 07:00:00,75.06,30.712,70.182,20.26,19.02,9.82,108.83,63.8
2026-01-11 08:00:00,68.78,30.931,70.153,17.39,23.64,10.41,100.98,58.46
2026-01-11 09:00:00,54.27,31.018,70.199,20.47,10.71,9.59,82.83,46.13
2026-01-11 10:00:00,47.59,30.83,70.168,15.86,17.18,10.64,74.49,40.45
2026-01-11 11:00:00,42.93,30.822,70.261,14.52,17.54,13.2,68.66,36.49
2026-01-11 12:00:00,53.03,30.681,70.078,12.96,6.95,12.38,81.29,45.08
2026-01-11 13:00:00,49.5,30.619,70.045,7.74,7.86,11.54,76.88,42.08
2026-01-11 14:00:00,56.57,30.8,69.846,8.06,6.86,12.13,85.71,48.08
2026-01-11 15:00:00,54.71,30.877,69.696,14.74,8.07,13.61,83.39,46.5
2026-01-11 16:00:00,53.02,30.793,69.832,14.87,12.79,11.22,81.28,45.07
2026-01-11 17:00:00,58.15,30.671,69.922,13.21,22.0,10.41,87.69,49.43
2026-01-11 18:00:00,-9.98,30.675,69.85,25.04,27.17,9.59,2.53,0.0
2026-01-11 19:00:00,17.78,30.529,69.7,26.14,23.37,6.48,37.23,15.11
2026-01-11 20:00:00,11.81,30.449,69.403,24.22,30.72,8.51,29.77,10.04
2026-01-11 21:00:00,91.66,30.486,69.349,21.52,23.75,8.27,129.58,77.91
2026-01-11 22:00:00,76.96,30.625,69.591,24.85,26.56,5.92,111.2,65.42
2026-01-11 23:00:00,78.93,30.698,69.635,21.73,18.84,12.09,113.66,67.09
